"V1","V2","V3","V4","V5","V6","V7"
"53: 宮古島市大神","n","u","p","u","?","i"
"53: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"54: 宮古島市大神","n","u","p","u","?","i"
"54: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"55: 宮古島市大神","n","u","p","u","?","i"
"55: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"56: 宮古島市大神","n","u","p","u","?","i"
"56: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"57: 宮古島市大神","n","u","p","u","?","i"
"57: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"58: 宮古島市大神","n","u","p","u","?","i"
"58: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"59: 宮古島市大神","n","u","p","u","?","i"
"59: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"60: 宮古島市大神","n","u","p","u","?","i"
"60: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"61: 宮古島市平良狩俣","n","u","b","a","?","i"
"61: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"","","","","","",""
"62: 宮古島市平良狩俣","n","u","b","a","?","i"
"62: 宮古島市下地与那覇","n","u","b","u","?","i"
"","","","","","",""
"63: 宮古島市平良狩俣","n","u","b","a","?","i"
"63: 宮古島市上野宮国","n","u","b","u","?","i"
"","","","","","",""
"64: 宮古島市平良狩俣","n","u","b","a","?","i"
"64: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"","","","","","",""
"65: 宮古島市平良狩俣","n","u","b","a","?","i"
"65: 多良間村仲筋","n","i","b","u","?","i"
"","","","","","",""
"66: 宮古島市平良狩俣","n","u","b","a","?","i"
"66: 石垣市登野城","n","u","b","-","-","i"
"","","","","","",""
"67: 宮古島市平良狩俣","n","u","b","a","?","i"
"67: 石垣市大浜","n","u","b","-","-","y"
"","","","","","",""
"68: 宮古島市平良狩俣","n","u","b","a","?","i"
"68: 石垣市宮良","n","u","b","-","-","i"
"","","","","","",""
"69: 宮古島市平良狩俣","n","u","b","a","?","i"
"69: 石垣市平久保","n","u","b","-","-","i"
"","","","","","",""
"70: 宮古島市平良狩俣","n","u","b","a","?","i"
"70: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"71: 宮古島市平良狩俣","n","u","b","a","?","i"
"71: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"72: 宮古島市平良狩俣","n","u","b","a","?","i"
"72: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"73: 宮古島市平良狩俣","n","u","b","a","?","i"
"73: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"74: 宮古島市平良狩俣","n","u","b","a","?","i"
"74: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"75: 宮古島市平良狩俣","n","u","b","a","?","i"
"75: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"76: 宮古島市平良狩俣","n","u","b","a","?","i"
"76: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"77: 宮古島市平良狩俣","n","u","b","a","?","i"
"77: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"78: 宮古島市平良狩俣","n","u","b","a","?","i"
"78: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"79: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"79: 宮古島市下地与那覇","n","u","b","u","?","i"
"","","","","","",""
"80: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"80: 宮古島市上野宮国","n","u","b","u","?","i"
"","","","","","",""
"81: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"81: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"","","","","","",""
"82: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"82: 多良間村仲筋","n","i","b","u","?","i"
"","","","","","",""
"83: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"83: 石垣市登野城","n","u","b","-","-","i"
"","","","","","",""
"84: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"84: 石垣市大浜","n","u","b","-","-","y"
"","","","","","",""
"85: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"85: 石垣市宮良","n","u","b","-","-","i"
"","","","","","",""
"86: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"86: 石垣市平久保","n","u","b","-","-","i"
"","","","","","",""
"87: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"87: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"88: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"88: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"89: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"89: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"90: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"90: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"91: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"91: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"92: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"92: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"93: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"93: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"94: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"94: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"95: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"95: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"96: 宮古島市下地与那覇","n","u","b","u","?","i"
"96: 宮古島市上野宮国","n","u","b","u","?","i"
"","","","","","",""
"97: 宮古島市下地与那覇","n","u","b","u","?","i"
"97: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"","","","","","",""
"98: 宮古島市下地与那覇","n","u","b","u","?","i"
"98: 多良間村仲筋","n","i","b","u","?","i"
"","","","","","",""
"99: 宮古島市下地与那覇","n","u","b","u","?","i"
"99: 石垣市登野城","n","u","b","-","-","i"
"","","","","","",""
"100: 宮古島市下地与那覇","n","u","b","u","?","i"
"100: 石垣市大浜","n","u","b","-","-","y"
"","","","","","",""
"101: 宮古島市下地与那覇","n","u","b","u","?","i"
"101: 石垣市宮良","n","u","b","-","-","i"
"","","","","","",""
"102: 宮古島市下地与那覇","n","u","b","u","?","i"
"102: 石垣市平久保","n","u","b","-","-","i"
"","","","","","",""
"103: 宮古島市下地与那覇","n","u","b","u","?","i"
"103: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"104: 宮古島市下地与那覇","n","u","b","u","?","i"
"104: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"105: 宮古島市下地与那覇","n","u","b","u","?","i"
"105: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"106: 宮古島市下地与那覇","n","u","b","u","?","i"
"106: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"107: 宮古島市下地与那覇","n","u","b","u","?","i"
