-	0000000000000	00000000	00	00	00	00
?	0100000000000	00000001	01	01	10	10
p	0000000000001	00000001	01	01	01	01
px	0000000000001	00000001	01	01	10	01
pj	0000000000001	00000001	10	01	01	01
pw	0000000000001	00000001	01	10	01	01
pjx	0000000000001	00000001	10	01	10	01
b	0000000000001	00000001	01	01	01	10
bj	0000000000001	00000001	10	01	01	10
bw	0000000000001	00000001	01	10	01	10
hw	0000000000001	00000100	01	01	01	01
x0	0010000000000	01000000	01	01	01	10
h	0010000000000	00000100	01	01	01	01
m	0000000000001	00001000	01	01	01	10
?m	0000000000001	00001000	01	01	10	10
mj	0000000000001	00001000	10	01	01	10
mw	0000000000001	00001000	01	10	01	10
?mj	0000000000001	00001000	10	01	10	10
f	0000000000010	00000100	01	01	01	01
fj	0000000000010	00000100	10	01	01	01
v	0000000000010	00000100	01	01	01	10
vj	0000000000010	00000100	10	01	01	10
t	0000000001000	00000001	01	01	01	01
tx	0000000001000	00000001	01	01	10	01
ts3	0000000001000	00000100	01	01	01	01
tj	0000000001000	00000001	10	01	01	01
tw	0000000001000	00000001	01	10	01	01
tjx	0000000001000	00000001	10	01	10	01
d	0000000001000	00000001	01	01	01	10
dj	0000000001000	00000001	10	01	01	10
dw	0000000001000	00000001	01	10	01	10
ts	0000000001000	00000010	01	01	01	01
tsx	0000000001000	00000010	01	01	10	01
ts2	0000000010000	00000010	01	01	01	01
ts2x	0000000010000	00000010	01	01	10	01
dz	0000000001000	00000010	01	01	01	10
dz2	0000000010000	00000010	01	01	01	10
s	0000000001000	00000100	01	01	01	01
s2	0000000010000	00000100	01	01	01	01
sw	0000000001000	00000100	01	10	01	01
z	0000000001000	00000100	01	01	01	10
z2	0000000010000	00000100	01	01	01	10
zw	0000000001000	00000100	01	10	01	10
n	0000000001000	00001000	01	01	01	10
?n	0000000001000	00001000	01	01	10	10
nw	0000000001000	00001000	01	10	01	10
nj	0000000001000	00001000	10	01	01	10
?nj	0000000001000	00001000	10	01	10	10
r	0000000001000	00010000	01	01	01	10
?r	0000000001000	00010000	01	01	10	10
rj	0000000001000	00010000	10	01	01	10
rw	0000000001000	00010000	01	10	01	10
hj	0000001000000	00000100	10	01	01	01
k	0000010000000	00000001	01	01	01	01
kx	0000010000000	00000001	01	01	10	01
kj	0000010000000	00000001	10	01	01	01
kjx	0000010000000	00000001	10	01	10	01
kw	0000010000000	00000001	01	10	01	01
kwx	0000010000000	00000001	01	10	10	01
g	0000010000000	00000001	01	01	01	10
gj	0000010000000	00000001	10	01	01	10
gw	0000010000000	00000001	01	10	01	10
ng	0000010000000	00001000	01	01	01	10
j	0000001000000	01000000	01	01	01	10
?j	0000001000000	01000000	01	01	10	10
w	0000000000001	01000000	01	01	01	10
?w	0000000000001	01000000	01	01	10	10
?n2	0100000000000	00001000	01	01	10	10
x0n2	0100000000000	00001000	01	01	01	10
hn2	0100000000000	00001000	01	01	01	01
n2:	0100000000000	00001000	01	01	01	10
?n2:	0100000000000	00001000	01	01	10	10
q	0100000000000	10000000	01	01	01	01
l	0000001000000	00000001	01	01	01	10
