"V1" "V2" "V3" "V4" "V5" "V6"
"1" "C" "V" "C" "V" "C" "V"
"2" "C" "V" "C" "V" "C" "V"
"3" "C" "V" "C" "V" "C" "V"
"4" "C" "V" "C" "V" "C" "V"
"5" "C" "V" "C" "V" "C" "V"
"6" "C" "V" "C" "V" "C" "V"
"7" "C" "V" "C" "V" "C" "V"
"8" "C" "V" "C" "V" "C" "-1"
"9" "-1" "V" "C" "V" "C" "-1"
"10" "C" "V" "C" "V" "C" "V"
"11" "C" "V" "C" "V" "C" "-1"
"12" "C" "V" "C" "V" "-1" "V"
"13" "C" "V" "C" "V" "-1" "V"
"14" "C" "V" "C" "V" "C" "V"
"15" "-1" "V" "C" "V" "-1" "V"
"16" "-1" "V" "C" "V" "-1" "V"
"17" "C" "V" "C" "V" "C" "V"
"18" "-1" "V" "C" "V" "-1" "V"
"19" "C" "V" "C" "V" "-1" "V"
"20" "C" "V" "C" "V" "-1" "V"
"21" "-1" "V" "C" "V" "-1" "V"
"22" "C" "V" "C" "V" "-1" "V"
"23" "C" "V" "C" "V" "-1" "V"
"24" "C" "V" "C" "V" "-1" "V"
"25" "C" "V" "C" "V" "-1" "V"
"26" "C" "V" "C" "V" "-1" "V"
"27" "C" "V" "C" "V" "-1" "V"
"28" "-1" "V" "C" "V" "-1" "V"
"29" "-1" "V" "C" "V" "-1" "V"
"30" "C" "V" "C" "V" "-1" "V"
"31" "C" "V" "C" "V" "-1" "V"
"32" "C" "V" "C" "V" "-1" "V"
"33" "C" "V" "C" "V" "-1" "V"
"34" "C" "V" "C" "V" "-1" "V"
"35" "C" "V" "C" "V" "-1" "V"
"36" "C" "C" "C" "V" "-1" "V"
"37" "C" "V" "C" "V" "-1" "V"
"38" "C" "V" "C" "V" "-1" "V"
"39" "C" "V" "C" "V" "-1" "V"
"40" "C" "V" "C" "V" "-1" "V"
"41" "C" "V" "C" "V" "-1" "V"
"42" "C" "V" "C" "V" "-1" "V"
"43" "C" "V" "C" "V" "-1" "V"
"44" "C" "V" "C" "V" "-1" "V"
"45" "C" "V" "C" "V" "-1" "V"
"46" "C" "V" "C" "V" "-1" "V"
"47" "C" "V" "C" "V" "-1" "V"
"48" "C" "V" "C" "V" "-1" "V"
"49" "C" "V" "C" "V" "-1" "V"
"50" "C" "V" "C" "V" "-1" "V"
"51" "C" "V" "C" "V" "-1" "V"
"52" "C" "V" "C" "V" "-1" "V"
"53" "C" "V" "C" "V" "-1" "V"
"54" "C" "V" "C" "V" "-1" "V"
"55" "C" "V" "C" "V" "-1" "V"
"56" "C" "V" "C" "V" "-1" "V"
"57" "C" "V" "C" "V" "-1" "V"
"58" "C" "V" "C" "V" "-1" "V"
"59" "C" "V" "C" "V" "-1" "V"
"60" "C" "V" "C" "V" "-1" "V"
"61" "C" "V" "C" "V" "-1" "V"
"62" "C" "V" "C" "V" "-1" "V"
"63" "-1" "V" "C" "V" "-1" "V"
"64" "C" "V" "C" "V" "-1" "V"
"65" "-1" "V" "C" "V" "-1" "V"
"66" "C" "V" "C" "V" "-1" "V"
"67" "C" "V" "C" "V" "-1" "V"
"68" "C" "V" "C" "V" "-1" "V"
"69" "C" "V" "C" "V" "-1" "V"
"70" "C" "V" "C" "V" "-1" "V"
"71" "C" "V" "C" "V" "-1" "V"
"72" "-1" "V" "C" "V" "-1" "V"
"73" "C" "V" "C" "V" "-1" "V"
"74" "-1" "V" "C" "V" "-1" "V"
"75" "C" "V" "C" "V" "-1" "V"
"76" "C" "V" "C" "V" "-1" "V"
"77" "C" "V" "C" "V" "-1" "V"
"78" "C" "V" "C" "V" "-1" "V"
"79" "C" "V" "C" "V" "-1" "V"
"80" "C" "V" "C" "V" "C" "-1"
"81" "C" "V" "C" "V" "C" "-1"
"82" "C" "V" "C" "V" "C" "V"
"83" "C" "V" "C" "V" "C" "V"
"84" "C" "V" "C" "V" "C" "V"
"85" "C" "V" "C" "V" "C" "V"
"86" "C" "V" "C" "V" "C" "V"
"87" "C" "V" "C" "V" "C" "V"
"88" "C" "V" "C" "V" "C" "-1"
"89" "C" "V" "C" "V" "C" "V"
"90" "C" "V" "C" "V" "C" "V"
"91" "C" "V" "C" "V" "C" "V"
"92" "C" "V" "C" "V" "C" "V"
"93" "C" "V" "C" "V" "C" "V"
"94" "C" "V" "C" "V" "-1" "V"
"95" "C" "V" "C" "V" "-1" "V"
