"V1" "V2" "V3" "V4" "V5" "V6"
"1" "-1" "V" "C" "V" "C" "V"
"2" "C" "V" "C" "V" "C" "V"
"3" "C" "V" "C" "V" "C" "V"
"4" "C" "V" "C" "V" "C" "V"
"5" "C" "V" "C" "V" "C" "V"
"6" "C" "V" "C" "V" "C" "V"
"7" "C" "V" "C" "V" "C" "V"
"8" "C" "V" "C" "V" "C" "V"
"9" "C" "V" "C" "V" "C" "V"
"10" "C" "V" "C" "V" "C" "V"
"11" "C" "V" "C" "V" "C" "-1"
"12" "C" "V" "C" "V" "C" "V"
"13" "C" "V" "C" "V" "C" "V"
"14" "C" "V" "C" "V" "C" "V"
"15" "C" "V" "C" "V" "C" "V"
"16" "C" "V" "C" "V" "C" "V"
"17" "C" "V" "C" "V" "C" "V"
"18" "C" "V" "C" "V" "C" "V"
"19" "C" "V" "C" "V" "C" "V"
"20" "C" "V" "C" "V" "C" "V"
"21" "C" "V" "C" "V" "C" "V"
"22" "C" "V" "C" "V" "C" "V"
"23" "C" "V" "C" "V" "C" "V"
"24" "C" "V" "C" "V" "C" "V"
"25" "C" "V" "C" "V" "C" "V"
"26" "C" "V" "C" "V" "C" "V"
"27" "C" "V" "C" "V" "C" "V"
"28" "C" "V" "C" "V" "C" "V"
"29" "C" "V" "C" "V" "C" "V"
"30" "C" "V" "C" "V" "C" "V"
"31" "C" "V" "C" "V" "C" "V"
"32" "C" "V" "C" "V" "C" "V"
"33" "C" "V" "C" "V" "C" "V"
"34" "C" "V" "C" "-1" "C" "V"
"35" "C" "V" "C" "-1" "C" "V"
"36" "C" "V" "C" "-1" "C" "V"
"37" "-1" "V" "C" "V" "C" "V"
"38" "C" "V" "C" "-1" "C" "V"
"39" "C" "V" "C" "V" "C" "V"
"40" "C" "V" "C" "V" "C" "V"
"41" "C" "V" "C" "V" "C" "V"
"42" "C" "V" "C" "V" "C" "V"
"43" "C" "V" "C" "V" "C" "V"
"44" "C" "V" "C" "V" "C" "V"
"45" "C" "V" "C" "V" "C" "V"
"46" "-1" "V" "C" "V" "C" "V"
"47" "C" "-1" "C" "V" "C" "V"
"48" "-1" "V" "-1" "V" "C" "V"
"49" "-1" "V" "C" "V" "C" "V"
"50" "-1" "V" "C" "V" "C" "V"
"51" "C" "-1" "C" "V" "C" "V"
"52" "-1" "V" "C" "V" "C" "V"
"53" "C" "-1" "C" "V" "C" "V"
"54" "-1" "V" "C" "V" "C" "V"
"55" "-1" "V" "C" "V" "C" "V"
"56" "-1" "V" "C" "V" "C" "V"
