"V1" "V2" "V3" "V4" "V5" "V6"
"1" "C" "V" "C" "V" "C" "V"
"2" "-1" "-1" "C" "V" "C" "V"
"3" "-1" "-1" "C" "V" "C" "V"
"4" "-1" "-1" "C" "V" "C" "V"
"5" "-1" "-1" "C" "V" "C" "V"
"6" "-1" "-1" "C" "V" "C" "V"
"7" "-1" "-1" "C" "V" "C" "-1"
"8" "-1" "-1" "C" "V" "C" "-1"
"9" "-1" "-1" "C" "V" "C" "-1"
"10" "-1" "-1" "C" "V" "C" "-1"
"11" "-1" "-1" "C" "V" "C" "-1"
"12" "-1" "-1" "C" "V" "C" "V"
"13" "-1" "-1" "C" "V" "C" "V"
"14" "-1" "-1" "C" "V" "C" "V"
"15" "-1" "-1" "C" "V" "C" "V"
"16" "-1" "-1" "C" "V" "C" "V"
"17" "-1" "-1" "C" "V" "C" "V"
"18" "-1" "-1" "C" "V" "C" "V"
"19" "-1" "-1" "C" "V" "C" "V"
"20" "-1" "-1" "C" "V" "C" "V"
"21" "-1" "-1" "C" "V" "C" "V"
"22" "-1" "-1" "C" "V" "C" "V"
"23" "-1" "-1" "C" "V" "C" "V"
"24" "-1" "-1" "C" "V" "C" "V"
"25" "-1" "-1" "C" "V" "C" "V"
"26" "-1" "-1" "C" "V" "C" "V"
"27" "-1" "-1" "C" "V" "C" "V"
"28" "-1" "-1" "C" "V" "C" "V"
"29" "-1" "-1" "C" "V" "C" "V"
"30" "-1" "-1" "C" "V" "C" "V"
"31" "-1" "-1" "C" "V" "C" "V"
"32" "-1" "-1" "C" "V" "C" "V"
"33" "-1" "-1" "C" "V" "C" "V"
"34" "-1" "-1" "C" "V" "C" "V"
"35" "-1" "-1" "C" "V" "C" "V"
"36" "-1" "-1" "C" "V" "C" "V"
"37" "-1" "-1" "C" "V" "C" "V"
"38" "-1" "-1" "C" "V" "C" "V"
"39" "-1" "-1" "C" "V" "C" "V"
"40" "-1" "-1" "C" "V" "C" "V"
"41" "-1" "-1" "C" "V" "C" "V"
"42" "-1" "-1" "C" "V" "C" "V"
"43" "-1" "-1" "C" "V" "C" "V"
"44" "-1" "-1" "C" "V" "C" "V"
"45" "-1" "-1" "C" "V" "C" "V"
"46" "-1" "-1" "C" "V" "C" "V"
"47" "-1" "-1" "C" "V" "C" "V"
"48" "-1" "-1" "C" "V" "C" "V"
"49" "-1" "-1" "C" "V" "C" "V"
"50" "-1" "-1" "C" "V" "C" "V"
"51" "-1" "-1" "C" "V" "C" "V"
"52" "-1" "-1" "C" "V" "C" "V"
"53" "-1" "-1" "C" "V" "C" "V"
"54" "-1" "-1" "C" "V" "C" "V"
"55" "-1" "-1" "C" "V" "C" "V"
"56" "-1" "-1" "C" "V" "C" "V"
"57" "-1" "-1" "C" "V" "C" "V"
"58" "-1" "-1" "C" "V" "C" "V"
"59" "-1" "-1" "C" "V" "C" "V"
"60" "-1" "-1" "C" "V" "C" "V"
"61" "-1" "-1" "C" "V" "C" "V"
"62" "-1" "-1" "C" "V" "C" "V"
"63" "-1" "-1" "C" "V" "C" "V"
"64" "-1" "-1" "C" "V" "C" "V"
"65" "-1" "-1" "C" "V" "C" "V"
"66" "-1" "-1" "C" "V" "C" "V"
"67" "-1" "-1" "C" "V" "C" "V"
"68" "-1" "-1" "C" "V" "C" "V"
"69" "-1" "-1" "C" "V" "C" "V"
"70" "-1" "-1" "C" "V" "C" "V"
"71" "-1" "-1" "C" "V" "C" "V"
"72" "-1" "-1" "C" "V" "C" "V"
"73" "-1" "-1" "C" "V" "C" "V"
"74" "-1" "-1" "C" "V" "C" "V"
"75" "C" "V" "C" "V" "C" "V"
"76" "C" "V" "C" "V" "C" "V"
"77" "C" "V" "C" "V" "C" "V"
"78" "C" "V" "C" "V" "C" "V"
"79" "C" "V" "C" "V" "C" "V"
"80" "C" "V" "C" "V" "C" "V"
"81" "C" "V" "C" "V" "C" "V"
"82" "C" "V" "C" "V" "C" "V"
"83" "C" "V" "C" "V" "C" "V"
"84" "C" "V" "C" "V" "C" "V"
"85" "C" "V" "C" "V" "C" "V"
"86" "C" "V" "C" "V" "C" "V"
"87" "C" "V" "C" "V" "C" "V"
"88" "-1" "-1" "C" "V" "C" "V"
"89" "C" "V" "C" "V" "C" "V"
"90" "C" "V" "C" "V" "C" "V"
"91" "C" "V" "C" "V" "C" "V"
"92" "C" "V" "C" "V" "C" "V"
"93" "C" "V" "C" "V" "C" "V"
"94" "C" "V" "C" "V" "C" "V"
"95" "-1" "-1" "C" "V" "C" "V"
"96" "-1" "-1" "C" "V" "C" "V"
