"V1" "V2" "V3" "V4" "V5" "V6"
"1" "-1" "V" "C" "V" "C" "V"
"2" "C" "V" "C" "V" "C" "V"
"3" "C" "V" "C" "V" "C" "V"
"4" "C" "V" "C" "V" "C" "V"
"5" "C" "V" "C" "V" "C" "V"
"6" "C" "V" "C" "V" "C" "V"
"7" "C" "V" "C" "-1" "C" "V"
"8" "C" "V" "C" "-1" "C" "V"
"9" "C" "V" "C" "-1" "C" "V"
"10" "C" "V" "C" "-1" "C" "V"
"11" "C" "V" "C" "-1" "C" "V"
"12" "C" "V" "C" "-1" "C" "V"
"13" "C" "V" "C" "-1" "C" "V"
"14" "C" "V" "C" "-1" "C" "V"
"15" "C" "V" "C" "-1" "C" "V"
"16" "C" "V" "C" "-1" "C" "V"
"17" "C" "V" "C" "-1" "C" "V"
"18" "C" "V" "C" "V" "C" "V"
"19" "C" "V" "C" "V" "C" "V"
"20" "C" "V" "C" "V" "C" "V"
"21" "C" "V" "C" "-1" "C" "V"
"22" "C" "V" "C" "-1" "C" "V"
"23" "C" "V" "C" "-1" "C" "V"
"24" "C" "V" "C" "-1" "C" "V"
"25" "C" "V" "C" "-1" "C" "V"
"26" "C" "V" "C" "-1" "C" "V"
"27" "C" "V" "C" "-1" "C" "V"
"28" "C" "V" "C" "-1" "C" "V"
"29" "C" "V" "C" "-1" "C" "V"
"30" "C" "V" "C" "-1" "C" "V"
"31" "C" "V" "C" "-1" "C" "V"
"32" "C" "V" "C" "-1" "C" "V"
"33" "C" "V" "C" "-1" "C" "V"
"34" "C" "V" "C" "-1" "C" "V"
"35" "C" "V" "C" "-1" "C" "V"
"36" "C" "V" "C" "-1" "C" "V"
"37" "C" "V" "C" "-1" "C" "V"
"38" "C" "V" "C" "-1" "C" "V"
"39" "C" "V" "C" "-1" "C" "V"
"40" "C" "V" "C" "-1" "C" "V"
"41" "C" "V" "C" "-1" "C" "V"
"42" "C" "V" "C" "-1" "C" "V"
"43" "C" "V" "C" "-1" "C" "V"
"44" "C" "V" "C" "-1" "C" "V"
"45" "C" "V" "C" "-1" "C" "V"
"46" "C" "V" "C" "-1" "C" "V"
"47" "C" "V" "C" "-1" "C" "V"
"48" "C" "V" "C" "-1" "C" "V"
"49" "C" "V" "C" "-1" "C" "V"
"50" "C" "V" "C" "-1" "C" "V"
"51" "C" "V" "C" "-1" "C" "V"
"52" "C" "V" "C" "-1" "C" "V"
"53" "C" "V" "C" "-1" "C" "V"
"54" "C" "V" "C" "-1" "C" "V"
"55" "C" "V" "C" "-1" "C" "V"
"56" "C" "V" "C" "-1" "C" "V"
"57" "C" "V" "C" "-1" "C" "V"
"58" "C" "V" "C" "-1" "C" "V"
"59" "C" "V" "C" "-1" "C" "V"
"60" "C" "V" "C" "-1" "C" "V"
"61" "C" "V" "C" "-1" "C" "V"
"62" "C" "V" "C" "-1" "C" "V"
"63" "C" "V" "C" "-1" "C" "V"
"64" "C" "V" "C" "-1" "C" "V"
"65" "-1" "V" "C" "-1" "C" "V"
"66" "C" "V" "C" "-1" "C" "V"
"67" "C" "V" "C" "-1" "C" "V"
"68" "C" "V" "C" "-1" "C" "V"
"69" "C" "V" "C" "-1" "C" "V"
"70" "C" "V" "C" "-1" "C" "V"
"71" "C" "V" "C" "-1" "C" "V"
"72" "C" "V" "C" "-1" "C" "V"
"73" "C" "V" "C" "-1" "C" "V"
"74" "C" "V" "C" "-1" "C" "V"
"75" "-1" "V" "C" "-1" "C" "V"
"76" "-1" "V" "C" "-1" "C" "V"
"77" "-1" "V" "C" "-1" "C" "V"
"78" "-1" "V" "C" "-1" "C" "V"
"79" "-1" "V" "C" "-1" "C" "V"
"80" "-1" "V" "C" "-1" "C" "V"
"81" "-1" "V" "C" "-1" "C" "V"
"82" "-1" "V" "C" "-1" "C" "V"
"83" "-1" "V" "-1" "-1" "C" "V"
"84" "-1" "V" "-1" "-1" "C" "V"
"85" "-1" "V" "-1" "-1" "C" "V"
"86" "-1" "V" "-1" "-1" "C" "V"
"87" "-1" "V" "-1" "-1" "C" "V"
"88" "-1" "V" "-1" "-1" "C" "V"
"89" "-1" "V" "C" "-1" "C" "V"
"90" "-1" "V" "-1" "-1" "C" "V"
"91" "-1" "V" "C" "-1" "C" "V"
"92" "-1" "V" "C" "V" "C" "V"
"93" "-1" "V" "-1" "-1" "C" "V"
"94" "-1" "V" "-1" "-1" "C" "V"
"95" "-1" "V" "C" "-1" "C" "V"
"96" "-1" "V" "C" "-1" "C" "V"
