"V1" "V2" "V3" "V4" "V5" "V6"
"1" "C" "V" "C" "V" "C" "V"
"2" "C" "V" "C" "V" "C" "V"
"3" "C" "V" "C" "V" "C" "V"
"4" "C" "V" "C" "V" "C" "V"
"5" "C" "V" "C" "V" "C" "V"
"6" "C" "V" "C" "V" "C" "V"
"7" "C" "V" "C" "V" "-1" "-1"
"8" "C" "V" "C" "V" "C" "-1"
"9" "-1" "V" "C" "V" "C" "-1"
"10" "C" "V" "C" "V" "C" "V"
"11" "C" "V" "C" "V" "C" "-1"
"12" "C" "V" "-1" "V" "C" "V"
"13" "C" "V" "-1" "V" "C" "V"
"14" "C" "V" "-1" "V" "C" "V"
"15" "C" "V" "-1" "V" "C" "V"
"16" "C" "V" "-1" "V" "C" "V"
"17" "C" "V" "-1" "V" "C" "V"
"18" "C" "V" "-1" "-1" "-1" "-1"
"19" "C" "V" "-1" "-1" "-1" "-1"
"20" "C" "V" "-1" "V" "C" "V"
"21" "C" "V" "C" "V" "-1" "-1"
"22" "C" "V" "C" "V" "-1" "-1"
"23" "C" "V" "C" "V" "-1" "-1"
"24" "C" "V" "C" "V" "-1" "-1"
"25" "C" "V" "C" "V" "-1" "-1"
"26" "C" "V" "C" "V" "-1" "-1"
"27" "C" "V" "C" "V" "-1" "-1"
"28" "C" "V" "C" "V" "-1" "-1"
"29" "C" "V" "C" "V" "-1" "-1"
"30" "C" "V" "C" "V" "-1" "-1"
"31" "C" "V" "C" "V" "-1" "-1"
"32" "C" "V" "C" "V" "-1" "-1"
"33" "C" "V" "C" "V" "-1" "-1"
"34" "C" "V" "C" "V" "-1" "-1"
"35" "C" "V" "C" "V" "-1" "-1"
"36" "C" "V" "C" "V" "-1" "-1"
"37" "C" "V" "C" "V" "-1" "-1"
"38" "C" "V" "C" "V" "-1" "-1"
"39" "C" "V" "C" "V" "-1" "-1"
"40" "C" "V" "C" "V" "-1" "-1"
"41" "C" "V" "C" "V" "-1" "-1"
"42" "C" "V" "C" "V" "-1" "-1"
"43" "C" "V" "C" "V" "-1" "-1"
"44" "C" "V" "C" "V" "-1" "-1"
"45" "C" "V" "C" "V" "-1" "-1"
"46" "C" "V" "C" "V" "-1" "-1"
"47" "C" "V" "C" "V" "-1" "-1"
"48" "C" "V" "C" "V" "-1" "-1"
"49" "C" "V" "C" "V" "-1" "-1"
"50" "C" "V" "C" "V" "-1" "-1"
"51" "C" "V" "C" "V" "-1" "-1"
"52" "C" "V" "C" "V" "-1" "-1"
"53" "C" "V" "C" "V" "-1" "-1"
"54" "C" "V" "C" "V" "-1" "-1"
"55" "C" "V" "C" "V" "-1" "-1"
"56" "C" "V" "C" "V" "-1" "-1"
"57" "C" "V" "C" "V" "-1" "-1"
"58" "C" "V" "C" "V" "-1" "-1"
"59" "C" "V" "C" "V" "-1" "-1"
"60" "C" "V" "C" "V" "-1" "-1"
"61" "C" "V" "C" "V" "-1" "-1"
"62" "C" "V" "C" "V" "-1" "-1"
"63" "C" "V" "C" "V" "-1" "-1"
"64" "C" "V" "C" "V" "-1" "-1"
"65" "C" "V" "C" "V" "-1" "-1"
"66" "C" "V" "C" "V" "-1" "-1"
"67" "C" "V" "C" "V" "-1" "-1"
"68" "C" "V" "C" "V" "-1" "-1"
"69" "C" "V" "C" "V" "-1" "-1"
"70" "C" "V" "C" "V" "-1" "-1"
"71" "C" "V" "C" "V" "-1" "-1"
"72" "C" "V" "C" "V" "-1" "-1"
"73" "C" "V" "C" "V" "-1" "-1"
"74" "C" "V" "C" "V" "-1" "-1"
"75" "C" "V" "C" "V" "-1" "V"
"76" "C" "V" "C" "V" "-1" "V"
"77" "C" "V" "C" "V" "-1" "V"
"78" "C" "V" "C" "V" "C" "-1"
"79" "C" "V" "C" "V" "-1" "V"
"80" "C" "V" "C" "V" "C" "-1"
"81" "C" "V" "C" "V" "C" "-1"
"82" "C" "V" "C" "V" "C" "V"
"83" "C" "V" "C" "V" "C" "V"
"84" "C" "V" "C" "V" "C" "V"
"85" "C" "V" "C" "V" "C" "V"
"86" "C" "V" "C" "V" "C" "V"
"87" "C" "V" "-1" "V" "C" "V"
"88" "C" "V" "C" "V" "C" "-1"
"89" "C" "V" "C" "V" "C" "V"
"90" "C" "V" "C" "V" "C" "V"
"91" "C" "V" "C" "V" "C" "V"
"92" "C" "V" "C" "V" "C" "V"
"93" "C" "V" "C" "V" "C" "V"
"94" "C" "V" "C" "V" "-1" "-1"
"95" "C" "V" "C" "V" "-1" "-1"
