"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" "C" "V" "-1" "V" "C" "V" "C" "V"
"2" "C" "V" "-1" "V" "C" "V" "C" "V"
"3" "C" "V" "-1" "V" "C" "V" "C" "V"
"4" "C" "V" "-1" "V" "C" "V" "C" "V"
"5" "C" "V" "-1" "V" "C" "V" "C" "V"
"6" "C" "V" "-1" "V" "C" "V" "C" "V"
"7" "C" "V" "-1" "V" "C" "V" "C" "-1"
"8" "C" "V" "-1" "V" "C" "V" "C" "-1"
"9" "C" "V" "-1" "V" "C" "V" "C" "V"
"10" "C" "V" "-1" "V" "C" "V" "C" "V"
"11" "C" "V" "-1" "V" "C" "V" "C" "V"
"12" "C" "V" "-1" "V" "C" "V" "C" "V"
"13" "C" "V" "-1" "V" "C" "V" "C" "V"
