"V1" "V2" "V3" "V4" "V5" "V6"
"1" "C" "V" "C" "V" "C" "V"
"2" "C" "V" "C" "V" "C" "V"
"3" "C" "V" "C" "V" "C" "V"
"4" "C" "V" "C" "V" "C" "V"
"5" "C" "V" "C" "V" "C" "V"
"6" "C" "V" "C" "V" "C" "V"
"7" "C" "V" "C" "V" "C" "V"
"8" "C" "V" "C" "V" "C" "V"
"9" "C" "V" "C" "V" "C" "V"
"10" "C" "V" "C" "V" "C" "V"
"11" "C" "V" "C" "V" "C" "V"
"12" "C" "V" "C" "V" "C" "V"
"13" "C" "V" "C" "V" "C" "V"
"14" "C" "V" "C" "V" "C" "V"
"15" "C" "V" "C" "V" "C" "V"
"16" "C" "V" "C" "V" "C" "V"
"17" "C" "V" "C" "V" "C" "V"
"18" "C" "V" "C" "V" "C" "V"
"19" "C" "V" "C" "V" "C" "V"
"20" "C" "V" "C" "V" "C" "V"
"21" "C" "V" "C" "V" "C" "V"
"22" "C" "V" "C" "V" "C" "V"
